Time_proposed bufferSize_proposed hasThroughput_proposed estimatedBW_proposed videoLevel_proposed tcpThroughput_proposed
0.24 17 7585.00 5513.74 4250 0.00
0.25 18 0.00 4931.49 4250 0.00
0.25 17 2342.00 4931.49 4250 0.00
0.25 16 4669.00 4931.49 4250 0.00
0.25 15 7454.00 4931.49 4250 0.00
0.25 16 0.00 4378.41 4250 0.00
0.25 15 2605.00 4378.41 4250 0.00
0.25 14 4890.00 4378.41 4250 0.00
0.25 13 7331.00 4378.41 4250 0.00
0.25 14 0.00 3942.35 3050 0.00
0.26 13 2605.00 3942.35 3050 0.00
0.26 12 4915.00 3942.35 3050 0.00
0.26 13 934.00 3566.85 3050 0.00
0.26 12 3137.00 3566.85 3050 0.00
0.26 11 5242.00 3566.85 3050 0.00
0.26 12 1048.00 3286.96 3050 0.00
0.26 11 4415.00 3286.96 3050 0.00
0.26 12 3158.00 3159.27 3050 0.00
0.26 13 1363.00 3121.68 3050 0.00
0.26 14 0.00 3136.86 3050 0.00
0.27 13 4526.00 3136.86 3050 0.00
0.27 14 3580.00 3192.81 3050 0.00
0.27 15 2093.00 3282.47 3050 0.00
0.27 16 2306.00 3394.14 3050 0.00
0.27 17 0.00 3522.23 3050 0.00
0.27 16 6082.00 3522.23 3050 0.00
0.27 17 4919.00 3663.40 3050 0.00
0.27 18 1748.00 3811.65 3050 0.00
0.27 19 0.00 3966.17 3050 0.00
0.27 18 4858.00 3966.17 3050 0.00
0.28 19 2207.00 4114.04 3050 0.00
0.28 20 0.00 4269.94 3050 0.00
0.28 21 0.00 4434.48 3050 0.00
0.28 20 3354.00 4434.48 3050 0.00
0.28 21 0.00 4590.36 3050 0.00
0.28 20 4190.00 4590.36 3050 0.00
0.28 21 0.00 4646.86 3050 0.00
0.28 22 0.00 4738.36 3050 0.00
0.28 21 1958.00 4738.36 3050 0.00
0.28 22 0.00 4839.71 3050 0.00
0.28 21 2945.00 4839.71 3050 0.00
0.29 22 0.00 4883.29 3050 0.00
