Time2 BufferSize2 VideoLevel2 DownloadTime2 RequestInterval2 BufferVariation2, PreviousQuality2
273.00 24.00 1950 0.48 1.06 0.47 1950
274.00 23.00 1950 0.48 1.06 0.47 1950
275.00 24.00 1950 0.48 1.17 0.36 1950
276.00 25.00 1950 0.48 1.69 -0.17 1950
277.00 24.00 1950 0.48 1.69 -0.17 1950
278.00 23.00 3050 0.48 1.69 -0.17 1950
279.00 24.00 3050 0.72 1.36 -0.08 3050
280.00 23.00 3050 0.72 1.36 -0.08 3050
281.00 24.00 3050 0.72 1.24 0.04 3050
282.00 23.00 3050 0.72 1.24 0.04 3050
283.00 24.00 3050 0.72 1.13 0.15 3050
284.00 23.00 3050 0.72 1.13 0.15 3050
285.00 24.00 3050 0.76 1.24 0.00 3050
286.00 23.00 3050 0.76 1.24 0.00 3050
287.00 24.00 3050 1.38 1.49 -0.86 3050
288.00 23.00 3050 1.38 1.49 -0.86 3050
289.00 22.00 4250 1.38 1.49 -0.86 3050
290.00 23.00 4250 1.69 1.28 -0.97 4250
291.00 22.00 4250 1.69 1.28 -0.97 4250
292.00 21.00 4250 1.69 1.28 -0.97 4250
293.00 22.00 4250 1.64 1.07 -0.71 4250
294.00 21.00 4250 1.64 1.07 -0.71 4250
295.00 20.00 4250 1.64 1.07 -0.71 4250
296.00 21.00 4250 1.63 0.86 -0.49 4250
297.00 20.00 4250 1.63 0.86 -0.49 4250
298.00 21.00 4250 1.54 0.82 -0.36 4250
299.00 20.00 4250 1.54 0.82 -0.36 4250
